Clapeyron Database File,,,
original UNIFAC 2.0 Unlike Parameters [csvtype = unlike,grouptype = originalUNIFAC],,
ACNO2,IMIDAZOL,13.9956,10.1016/j.cej.2024.158667
ACNO2,BTI,32.304188,10.1016/j.cej.2024.158667
CS2,CH3~|~CH2~|~CH~|~C,-31.199968,10.1016/j.cej.2024.158667
CS2,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-33.034206,10.1016/j.cej.2024.158667
CS2,ACH~|~AC,-29.349838,10.1016/j.cej.2024.158667
CS2,ACCH3~|~ACCH2~|~ACCH,-30.43318,10.1016/j.cej.2024.158667
CS2,OH,809.22375,10.1016/j.cej.2024.158667
CS2,CH3OH,850.1145,10.1016/j.cej.2024.158667
CS2,H2O,1165.0627,10.1016/j.cej.2024.158667
CS2,ACOH,1500.2063,10.1016/j.cej.2024.158667
CS2,CH3CO~|~CH2CO,350.3394,10.1016/j.cej.2024.158667
CS2,HCO,477.45374,10.1016/j.cej.2024.158667
CS2,CH3COO~|~CH2COO,185.98726,10.1016/j.cej.2024.158667
CS2,HCOO,289.79953,10.1016/j.cej.2024.158667
CS2,CH3O~|~CH2O~|~CHO~|~THF,159.8747,10.1016/j.cej.2024.158667
CS2,CH3NH2~|~CH2NH2~|~CHNH2,306.89185,10.1016/j.cej.2024.158667
CS2,CH3NH~|~CH2NH~|~CHNH,81.36792,10.1016/j.cej.2024.158667
CS2,CH3N~|~CH2N,161.53076,10.1016/j.cej.2024.158667
CS2,ACNH2,848.0273,10.1016/j.cej.2024.158667
CS2,C5H5N~|~C5H4N~|~C5H3N,291.4013,10.1016/j.cej.2024.158667
CS2,CH3CN~|~CH2CN,445.89902,10.1016/j.cej.2024.158667
CS2,COOH~|~HCOOH,596.0359,10.1016/j.cej.2024.158667
CS2,CH2CL~|~CHCL~|~CCL,128.42966,10.1016/j.cej.2024.158667
CS2,CH2CL2~|~CHCL2~|~CCL2,91.84392,10.1016/j.cej.2024.158667
CS2,CHCL3~|~CCL3,21.138237,10.1016/j.cej.2024.158667
CS2,CCL4,-26.206642,10.1016/j.cej.2024.158667
CS2,ACCL,6.7165766,10.1016/j.cej.2024.158667
CS2,CH3NO2~|~CH2NO2~|~CHNO2,391.8768,10.1016/j.cej.2024.158667
CS2,ACNO2,417.68365,10.1016/j.cej.2024.158667
CS2,CH3SH~|~CH2SH,50.706154,10.1016/j.cej.2024.158667
CS2,FURFURAL,211.60973,10.1016/j.cej.2024.158667
CS2,DOH,756.76886,10.1016/j.cej.2024.158667
CS2,I,188.81223,10.1016/j.cej.2024.158667
CS2,BR,283.94992,10.1016/j.cej.2024.158667
CS2,CH=-C~|~C=-C,123.693054,10.1016/j.cej.2024.158667
CS2,DMSO,179.75493,10.1016/j.cej.2024.158667
CS2,ACRY,216.21397,10.1016/j.cej.2024.158667
CS2,CL-(C=C),-34.272816,10.1016/j.cej.2024.158667
CS2,ACF,49.337803,10.1016/j.cej.2024.158667
CS2,DMF~|~HCON(..,154.70222,10.1016/j.cej.2024.158667
CS2,CF3~|~CF2~|~CF,89.99312,10.1016/j.cej.2024.158667
CS2,COO,529.72314,10.1016/j.cej.2024.158667
CS2,SIH3~|~SIH2~|~SIH~|~SI,-311.6386,10.1016/j.cej.2024.158667
CS2,SIH2O~|~SIHO~|~SIO,63.413372,10.1016/j.cej.2024.158667
CS2,NMP,119.33406,10.1016/j.cej.2024.158667
CS2,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,70.39959,10.1016/j.cej.2024.158667
CS2,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,574.4403,10.1016/j.cej.2024.158667
CS2,C2H5O2~|~C2H4O2,315.4662,10.1016/j.cej.2024.158667
CS2,CH3S~|~CH2S~|~CHS,78.49989,10.1016/j.cej.2024.158667
CS2,MORPH,39.2849,10.1016/j.cej.2024.158667
CS2,C4H4S~|~C4H3S~|~C4H2S,54.616703,10.1016/j.cej.2024.158667
CS2,NCO,356.9171,10.1016/j.cej.2024.158667
CS2,CH2SuCH2~|~CH2SuCH,574.9479,10.1016/j.cej.2024.158667
CS2,IMIDAZOL,281.89282,10.1016/j.cej.2024.158667
CS2,BTI,568.6601,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3~|~CH2~|~CH~|~C,118.79081,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,103.69991,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACH~|~AC,40.19188,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACCH3~|~ACCH2~|~ACCH,70.40147,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,OH,410.40613,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3OH,396.7644,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,H2O,503.68253,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACOH,585.64056,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3CO~|~CH2CO,184.54941,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,HCO,253.35272,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3COO~|~CH2COO,127.38831,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,HCOO,189.59555,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3O~|~CH2O~|~CHO~|~THF,36.29293,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3NH2~|~CH2NH2~|~CHNH2,108.20398,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3NH~|~CH2NH~|~CHNH,80.81703,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3N~|~CH2N,131.41766,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACNH2,403.62347,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,C5H5N~|~C5H4N~|~C5H3N,116.87512,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3CN~|~CH2CN,277.7461,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,COOH~|~HCOOH,128.71336,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH2CL~|~CHCL~|~CCL,126.89144,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH2CL2~|~CHCL2~|~CCL2,101.877716,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CHCL3~|~CCL3,54.50866,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CCL4,68.238785,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACCL,144.01257,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3NO2~|~CH2NO2~|~CHNO2,201.76923,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACNO2,207.46649,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CS2,233.41876,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,FURFURAL,91.39531,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,DOH,364.16794,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,I,250.89624,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,BR,229.10037,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH=-C~|~C=-C,103.798996,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,DMSO,51.022755,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACRY,152.35226,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CL-(C=C),76.821106,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,ACF,81.21769,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,DMF~|~HCON(..,31.832771,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CF3~|~CF2~|~CF,99.10788,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,COO,322.22717,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,SIH3~|~SIH2~|~SIH~|~SI,-121.86214,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,SIH2O~|~SIHO~|~SIO,7.3189363,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,NMP,13.92543,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,29.508545,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,299.48734,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,C2H5O2~|~C2H4O2,55.542027,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH3S~|~CH2S~|~CHS,3.6242843,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,MORPH,13.693439,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,C4H4S~|~C4H3S~|~C4H2S,55.128246,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,NCO,164.94615,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,CH2SuCH2~|~CH2SuCH,272.57736,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,IMIDAZOL,89.975624,10.1016/j.cej.2024.158667
CH3SH~|~CH2SH,BTI,250.81674,10.1016/j.cej.2024.158667
FURFURAL,CH3~|~CH2~|~CH~|~C,45.528564,10.1016/j.cej.2024.158667
FURFURAL,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,27.544216,10.1016/j.cej.2024.158667
FURFURAL,ACH~|~AC,-8.214031,10.1016/j.cej.2024.158667
FURFURAL,ACCH3~|~ACCH2~|~ACCH,19.148336,10.1016/j.cej.2024.158667
FURFURAL,OH,175.60605,10.1016/j.cej.2024.158667
FURFURAL,CH3OH,177.39783,10.1016/j.cej.2024.158667
FURFURAL,H2O,202.84982,10.1016/j.cej.2024.158667
FURFURAL,ACOH,136.39752,10.1016/j.cej.2024.158667
FURFURAL,CH3CO~|~CH2CO,52.69323,10.1016/j.cej.2024.158667
FURFURAL,HCO,-0.50479335,10.1016/j.cej.2024.158667
FURFURAL,CH3COO~|~CH2COO,31.502617,10.1016/j.cej.2024.158667
FURFURAL,HCOO,75.89825,10.1016/j.cej.2024.158667
FURFURAL,CH3O~|~CH2O~|~CHO~|~THF,-40.3019,10.1016/j.cej.2024.158667
FURFURAL,CH3NH2~|~CH2NH2~|~CHNH2,20.32867,10.1016/j.cej.2024.158667
FURFURAL,CH3NH~|~CH2NH~|~CHNH,-12.662021,10.1016/j.cej.2024.158667
FURFURAL,CH3N~|~CH2N,68.00284,10.1016/j.cej.2024.158667
FURFURAL,ACNH2,235.64929,10.1016/j.cej.2024.158667
FURFURAL,C5H5N~|~C5H4N~|~C5H3N,38.91966,10.1016/j.cej.2024.158667
FURFURAL,CH3CN~|~CH2CN,62.257874,10.1016/j.cej.2024.158667
FURFURAL,COOH~|~HCOOH,72.634796,10.1016/j.cej.2024.158667
FURFURAL,CH2CL~|~CHCL~|~CCL,-3.8929965,10.1016/j.cej.2024.158667
FURFURAL,CH2CL2~|~CHCL2~|~CCL2,-41.871876,10.1016/j.cej.2024.158667
FURFURAL,CHCL3~|~CCL3,-43.17062,10.1016/j.cej.2024.158667
FURFURAL,CCL4,3.6114738,10.1016/j.cej.2024.158667
FURFURAL,ACCL,46.70721,10.1016/j.cej.2024.158667
FURFURAL,CH3NO2~|~CH2NO2~|~CHNO2,28.304338,10.1016/j.cej.2024.158667
FURFURAL,ACNO2,23.728745,10.1016/j.cej.2024.158667
FURFURAL,CS2,107.198044,10.1016/j.cej.2024.158667
FURFURAL,CH3SH~|~CH2SH,-14.078245,10.1016/j.cej.2024.158667
FURFURAL,DOH,143.79106,10.1016/j.cej.2024.158667
FURFURAL,I,71.84893,10.1016/j.cej.2024.158667
FURFURAL,BR,21.79108,10.1016/j.cej.2024.158667
FURFURAL,CH=-C~|~C=-C,-12.008032,10.1016/j.cej.2024.158667
FURFURAL,DMSO,20.222878,10.1016/j.cej.2024.158667
FURFURAL,ACRY,12.239548,10.1016/j.cej.2024.158667
FURFURAL,CL-(C=C),-25.044764,10.1016/j.cej.2024.158667
FURFURAL,ACF,38.97736,10.1016/j.cej.2024.158667
FURFURAL,DMF~|~HCON(..,7.5458794,10.1016/j.cej.2024.158667
FURFURAL,CF3~|~CF2~|~CF,41.297775,10.1016/j.cej.2024.158667
FURFURAL,COO,174.6731,10.1016/j.cej.2024.158667
FURFURAL,SIH3~|~SIH2~|~SIH~|~SI,-32.166565,10.1016/j.cej.2024.158667
FURFURAL,SIH2O~|~SIHO~|~SIO,-1.9852115,10.1016/j.cej.2024.158667
FURFURAL,NMP,0.28048337,10.1016/j.cej.2024.158667
FURFURAL,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,15.873574,10.1016/j.cej.2024.158667
FURFURAL,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,123.139435,10.1016/j.cej.2024.158667
FURFURAL,C2H5O2~|~C2H4O2,49.631813,10.1016/j.cej.2024.158667
FURFURAL,CH3S~|~CH2S~|~CHS,-21.12568,10.1016/j.cej.2024.158667
FURFURAL,MORPH,-9.420756,10.1016/j.cej.2024.158667
FURFURAL,C4H4S~|~C4H3S~|~C4H2S,0.8811205,10.1016/j.cej.2024.158667
FURFURAL,NCO,35.623238,10.1016/j.cej.2024.158667
FURFURAL,CH2SuCH2~|~CH2SuCH,97.27716,10.1016/j.cej.2024.158667
FURFURAL,IMIDAZOL,7.045623,10.1016/j.cej.2024.158667
FURFURAL,BTI,36.97446,10.1016/j.cej.2024.158667
DOH,CH3~|~CH2~|~CH~|~C,199.47234,10.1016/j.cej.2024.158667
DOH,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,217.0098,10.1016/j.cej.2024.158667
DOH,ACH~|~AC,159.18614,10.1016/j.cej.2024.158667
DOH,ACCH3~|~ACCH2~|~ACCH,164.51804,10.1016/j.cej.2024.158667
DOH,OH,21.982069,10.1016/j.cej.2024.158667
DOH,CH3OH,10.191315,10.1016/j.cej.2024.158667
DOH,H2O,-32.15733,10.1016/j.cej.2024.158667
DOH,ACOH,-98.401,10.1016/j.cej.2024.158667
DOH,CH3CO~|~CH2CO,-8.484995,10.1016/j.cej.2024.158667
DOH,HCO,27.022503,10.1016/j.cej.2024.158667
DOH,CH3COO~|~CH2COO,31.36011,10.1016/j.cej.2024.158667
DOH,HCOO,34.911568,10.1016/j.cej.2024.158667
DOH,CH3O~|~CH2O~|~CHO~|~THF,-17.683863,10.1016/j.cej.2024.158667
DOH,CH3NH2~|~CH2NH2~|~CHNH2,-11.221238,10.1016/j.cej.2024.158667
DOH,CH3NH~|~CH2NH~|~CHNH,-7.338142,10.1016/j.cej.2024.158667
DOH,CH3N~|~CH2N,-9.137042,10.1016/j.cej.2024.158667
DOH,ACNH2,-161.65851,10.1016/j.cej.2024.158667
DOH,C5H5N~|~C5H4N~|~C5H3N,-13.152693,10.1016/j.cej.2024.158667
DOH,CH3CN~|~CH2CN,104.406815,10.1016/j.cej.2024.158667
DOH,COOH~|~HCOOH,-42.926716,10.1016/j.cej.2024.158667
DOH,CH2CL~|~CHCL~|~CCL,178.72688,10.1016/j.cej.2024.158667
DOH,CH2CL2~|~CHCL2~|~CCL2,165.87076,10.1016/j.cej.2024.158667
DOH,CHCL3~|~CCL3,188.76941,10.1016/j.cej.2024.158667
DOH,CCL4,192.88414,10.1016/j.cej.2024.158667
DOH,ACCL,273.2053,10.1016/j.cej.2024.158667
DOH,CH3NO2~|~CH2NO2~|~CHNO2,92.42731,10.1016/j.cej.2024.158667
DOH,ACNO2,120.09932,10.1016/j.cej.2024.158667
DOH,CS2,376.04462,10.1016/j.cej.2024.158667
DOH,CH3SH~|~CH2SH,164.9415,10.1016/j.cej.2024.158667
DOH,FURFURAL,36.35578,10.1016/j.cej.2024.158667
DOH,I,311.05084,10.1016/j.cej.2024.158667
DOH,BR,240.4821,10.1016/j.cej.2024.158667
DOH,CH=-C~|~C=-C,126.9263,10.1016/j.cej.2024.158667
DOH,DMSO,-71.32349,10.1016/j.cej.2024.158667
DOH,ACRY,123.43986,10.1016/j.cej.2024.158667
DOH,CL-(C=C),251.90178,10.1016/j.cej.2024.158667
DOH,ACF,71.855484,10.1016/j.cej.2024.158667
DOH,DMF~|~HCON(..,-28.373568,10.1016/j.cej.2024.158667
DOH,CF3~|~CF2~|~CF,122.62463,10.1016/j.cej.2024.158667
DOH,COO,-2.7870002,10.1016/j.cej.2024.158667
DOH,SIH3~|~SIH2~|~SIH~|~SI,19.873184,10.1016/j.cej.2024.158667
DOH,SIH2O~|~SIHO~|~SIO,-38.055103,10.1016/j.cej.2024.158667
DOH,NMP,-29.51275,10.1016/j.cej.2024.158667
DOH,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,91.07501,10.1016/j.cej.2024.158667
DOH,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,-7.645666,10.1016/j.cej.2024.158667
DOH,C2H5O2~|~C2H4O2,-124.99095,10.1016/j.cej.2024.158667
DOH,CH3S~|~CH2S~|~CHS,-28.045952,10.1016/j.cej.2024.158667
DOH,MORPH,7.460751,10.1016/j.cej.2024.158667
DOH,C4H4S~|~C4H3S~|~C4H2S,112.8122,10.1016/j.cej.2024.158667
DOH,NCO,17.553726,10.1016/j.cej.2024.158667
DOH,CH2SuCH2~|~CH2SuCH,-25.491322,10.1016/j.cej.2024.158667
DOH,IMIDAZOL,-54.590286,10.1016/j.cej.2024.158667
DOH,BTI,4.3213387,10.1016/j.cej.2024.158667
I,CH3~|~CH2~|~CH~|~C,-9.526062,10.1016/j.cej.2024.158667
I,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-25.906887,10.1016/j.cej.2024.158667
I,ACH~|~AC,-29.200323,10.1016/j.cej.2024.158667
I,ACCH3~|~ACCH2~|~ACCH,-26.147346,10.1016/j.cej.2024.158667
I,OH,486.25668,10.1016/j.cej.2024.158667
I,CH3OH,510.9438,10.1016/j.cej.2024.158667
I,H2O,639.44086,10.1016/j.cej.2024.158667
I,ACOH,805.68335,10.1016/j.cej.2024.158667
I,CH3CO~|~CH2CO,171.23618,10.1016/j.cej.2024.158667
I,HCO,150.93134,10.1016/j.cej.2024.158667
I,CH3COO~|~CH2COO,104.38367,10.1016/j.cej.2024.158667
I,HCOO,199.55711,10.1016/j.cej.2024.158667
I,CH3O~|~CH2O~|~CHO~|~THF,-14.861623,10.1016/j.cej.2024.158667
I,CH3NH2~|~CH2NH2~|~CHNH2,155.16974,10.1016/j.cej.2024.158667
I,CH3NH~|~CH2NH~|~CHNH,-44.6914,10.1016/j.cej.2024.158667
I,CH3N~|~CH2N,137.52379,10.1016/j.cej.2024.158667
I,ACNH2,562.6905,10.1016/j.cej.2024.158667
I,C5H5N~|~C5H4N~|~C5H3N,168.462,10.1016/j.cej.2024.158667
I,CH3CN~|~CH2CN,242.74298,10.1016/j.cej.2024.158667
I,COOH~|~HCOOH,318.21814,10.1016/j.cej.2024.158667
I,CH2CL~|~CHCL~|~CCL,57.504345,10.1016/j.cej.2024.158667
I,CH2CL2~|~CHCL2~|~CCL2,5.25295,10.1016/j.cej.2024.158667
I,CHCL3~|~CCL3,-17.541481,10.1016/j.cej.2024.158667
I,CCL4,-32.584335,10.1016/j.cej.2024.158667
I,ACCL,12.510815,10.1016/j.cej.2024.158667
I,CH3NO2~|~CH2NO2~|~CHNO2,209.33307,10.1016/j.cej.2024.158667
I,ACNO2,167.26265,10.1016/j.cej.2024.158667
I,CS2,58.633385,10.1016/j.cej.2024.158667
I,CH3SH~|~CH2SH,19.798382,10.1016/j.cej.2024.158667
I,FURFURAL,90.84121,10.1016/j.cej.2024.158667
I,DOH,458.91296,10.1016/j.cej.2024.158667
I,BR,152.63458,10.1016/j.cej.2024.158667
I,CH=-C~|~C=-C,20.558971,10.1016/j.cej.2024.158667
I,DMSO,62.653812,10.1016/j.cej.2024.158667
I,ACRY,91.1512,10.1016/j.cej.2024.158667
I,CL-(C=C),-6.8284426,10.1016/j.cej.2024.158667
I,ACF,42.01651,10.1016/j.cej.2024.158667
I,DMF~|~HCON(..,69.22068,10.1016/j.cej.2024.158667
I,CF3~|~CF2~|~CF,125.2455,10.1016/j.cej.2024.158667
I,COO,407.32562,10.1016/j.cej.2024.158667
I,SIH3~|~SIH2~|~SIH~|~SI,-160.59181,10.1016/j.cej.2024.158667
I,SIH2O~|~SIHO~|~SIO,45.05052,10.1016/j.cej.2024.158667
I,NMP,16.8733,10.1016/j.cej.2024.158667
I,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,29.899796,10.1016/j.cej.2024.158667
I,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,324.33405,10.1016/j.cej.2024.158667
I,C2H5O2~|~C2H4O2,160.28978,10.1016/j.cej.2024.158667
I,CH3S~|~CH2S~|~CHS,-36.608345,10.1016/j.cej.2024.158667
I,MORPH,-11.840073,10.1016/j.cej.2024.158667
I,C4H4S~|~C4H3S~|~C4H2S,13.168597,10.1016/j.cej.2024.158667
I,NCO,183.9418,10.1016/j.cej.2024.158667
I,CH2SuCH2~|~CH2SuCH,307.50583,10.1016/j.cej.2024.158667
I,IMIDAZOL,127.02057,10.1016/j.cej.2024.158667
I,BTI,332.03955,10.1016/j.cej.2024.158667
BR,CH3~|~CH2~|~CH~|~C,-124.45845,10.1016/j.cej.2024.158667
BR,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-155.71669,10.1016/j.cej.2024.158667
BR,ACH~|~AC,-94.80126,10.1016/j.cej.2024.158667
BR,ACCH3~|~ACCH2~|~ACCH,-130.32289,10.1016/j.cej.2024.158667
BR,OH,364.11145,10.1016/j.cej.2024.158667
BR,CH3OH,392.12384,10.1016/j.cej.2024.158667
BR,H2O,415.8775,10.1016/j.cej.2024.158667
BR,ACOH,695.271,10.1016/j.cej.2024.158667
BR,CH3CO~|~CH2CO,65.620674,10.1016/j.cej.2024.158667
BR,HCO,-73.87593,10.1016/j.cej.2024.158667
BR,CH3COO~|~CH2COO,68.34213,10.1016/j.cej.2024.158667
BR,HCOO,196.03534,10.1016/j.cej.2024.158667
BR,CH3O~|~CH2O~|~CHO~|~THF,-182.76826,10.1016/j.cej.2024.158667
BR,CH3NH2~|~CH2NH2~|~CHNH2,121.2854,10.1016/j.cej.2024.158667
BR,CH3NH~|~CH2NH~|~CHNH,-223.62978,10.1016/j.cej.2024.158667
BR,CH3N~|~CH2N,171.90965,10.1016/j.cej.2024.158667
BR,ACNH2,534.7136,10.1016/j.cej.2024.158667
BR,C5H5N~|~C5H4N~|~C5H3N,151.59666,10.1016/j.cej.2024.158667
BR,CH3CN~|~CH2CN,154.7365,10.1016/j.cej.2024.158667
BR,COOH~|~HCOOH,224.95705,10.1016/j.cej.2024.158667
BR,CH2CL~|~CHCL~|~CCL,-4.099636,10.1016/j.cej.2024.158667
BR,CH2CL2~|~CHCL2~|~CCL2,-70.137665,10.1016/j.cej.2024.158667
BR,CHCL3~|~CCL3,-66.98299,10.1016/j.cej.2024.158667
BR,CCL4,-140.71825,10.1016/j.cej.2024.158667
BR,ACCL,-118.02003,10.1016/j.cej.2024.158667
BR,CH3NO2~|~CH2NO2~|~CHNO2,163.36298,10.1016/j.cej.2024.158667
BR,ACNO2,-17.496872,10.1016/j.cej.2024.158667
BR,CS2,-119.850235,10.1016/j.cej.2024.158667
BR,CH3SH~|~CH2SH,-14.114591,10.1016/j.cej.2024.158667
BR,FURFURAL,21.690804,10.1016/j.cej.2024.158667
BR,DOH,406.13904,10.1016/j.cej.2024.158667
BR,I,-28.37778,10.1016/j.cej.2024.158667
BR,CH=-C~|~C=-C,-99.01659,10.1016/j.cej.2024.158667
BR,DMSO,-20.249422,10.1016/j.cej.2024.158667
BR,ACRY,-10.036575,10.1016/j.cej.2024.158667
BR,CL-(C=C),-5.1247787,10.1016/j.cej.2024.158667
BR,ACF,1.0605544,10.1016/j.cej.2024.158667
BR,DMF~|~HCON(..,43.367874,10.1016/j.cej.2024.158667
BR,CF3~|~CF2~|~CF,216.2947,10.1016/j.cej.2024.158667
BR,COO,450.90308,10.1016/j.cej.2024.158667
BR,SIH3~|~SIH2~|~SIH~|~SI,-117.16155,10.1016/j.cej.2024.158667
BR,SIH2O~|~SIHO~|~SIO,90.83905,10.1016/j.cej.2024.158667
BR,NMP,-83.77127,10.1016/j.cej.2024.158667
BR,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,-47.51552,10.1016/j.cej.2024.158667
BR,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,205.38374,10.1016/j.cej.2024.158667
BR,C2H5O2~|~C2H4O2,106.411095,10.1016/j.cej.2024.158667
BR,CH3S~|~CH2S~|~CHS,-181.08864,10.1016/j.cej.2024.158667
BR,MORPH,-76.8737,10.1016/j.cej.2024.158667
BR,C4H4S~|~C4H3S~|~C4H2S,-56.482964,10.1016/j.cej.2024.158667
BR,NCO,126.76948,10.1016/j.cej.2024.158667
BR,CH2SuCH2~|~CH2SuCH,189.6239,10.1016/j.cej.2024.158667
BR,IMIDAZOL,90.44204,10.1016/j.cej.2024.158667
BR,BTI,374.29733,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3~|~CH2~|~CH~|~C,33.71683,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-4.4052544,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,ACH~|~AC,-22.047508,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,ACCH3~|~ACCH2~|~ACCH,13.13608,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,OH,360.75934,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3OH,387.11594,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,H2O,446.98236,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,ACOH,626.58295,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3CO~|~CH2CO,103.55209,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,HCO,158.97635,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3COO~|~CH2COO,55.020634,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,HCOO,90.027,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3O~|~CH2O~|~CHO~|~THF,-63.7739,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3NH2~|~CH2NH2~|~CHNH2,96.985245,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3NH~|~CH2NH~|~CHNH,-24.439552,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3N~|~CH2N,97.618515,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,ACNH2,408.04224,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,C5H5N~|~C5H4N~|~C5H3N,112.24434,10.1016/j.cej.2024.158667
CH=-C~|~C=-C,CH3CN~|~CH2CN,170.96603,10.1016/j.cej.2024.158667
