Clapeyron Database File
PCPSAFT Like Parameters; Esper et al. (2023) [csvtype = like]
species,Mw,segment,sigma,epsilon,dipole,n_a,n_b,source,type,bounds_violation
4-cyanotoluene~|~p-toluonitrile~|~p-cyanotoluene,117.058,3.48898,3.64718,308.33025,4.4,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-ethylphenol~|~o-ethylphenol,122.073,4.19724,3.44623,286.62724,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
thiacyclobutane~|~trimethylene sulfide,74.019,2.15097,3.58444,326.05227,1.85,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-methylthiophene,98.019,2.80518,3.59397,290.92017,0.0,1,0,,NONPOLAR,OK
methylthiophene~|~3-methyl thiophene,98.019,2.74453,3.6238,296.88179,0.82,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
thiacyclohexane~|~tetrahydrothiopyran,102.05,2.51582,3.85477,330.91106,1.71,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-methylthiacyclopentane~|~2-methyl-thiacyclopentane~|~tetrahydro-2-methylthiophene,102.05,2.76704,3.75411,306.5766,0.0,1,0,,NONPOLAR,OK
benzenethiol~|~phenyl mercaptan,110.019,2.48712,3.90272,347.6038,0.0,1,1,,ASSOCIATIVE,OK
"2,5-dimethylthiophene",112.035,3.0963,3.68992,289.08392,0.0,1,0,,NONPOLAR,OK
"3,4-dimethylthiophene",112.035,3.02632,3.69913,302.17656,0.0,1,0,,NONPOLAR,OK
cyclohexanethiol~|~cyclohexyl mercaptan,116.066,2.62873,4.02278,331.99316,0.0,1,1,,ASSOCIATIVE,OK
"thiaindan~|~1-thiaindan~|~2,3-dihydrobenzothiophene",136.035,3.1083,3.81988,361.88651,0.0,1,0,,NONPOLAR,OK
"m-diisopropylbenzene~|~1,3-diisopropylbenzene~|~1,3-bis(1-methylethyl)-benzene",162.141,4.46773,3.87604,267.29506,0.0,0,0,,NONPOLAR,OK
"o-terphenyl~|~1,1'-2',1''-terphenyl",230.11,5.41044,3.84384,314.70269,0.0,0,0,,NONPOLAR,OK
"1,1-dimethylcyclohexane",112.125,3.11858,3.9447,268.76032,0.0,0,0,,NONPOLAR,OK
"1,2-dimethylcyclohexane~|~trans-1,2-dimethylcyclohexane",112.125,2.75105,4.13827,291.30809,0.0,0,0,,NONPOLAR,OK
thianthrene,216.007,3.99839,3.96357,392.09778,0.0,2,0,,NONPOLAR,OK
1-methylindene,130.078,4.74445,3.3795,258.82554,0.0,0,0,,NONPOLAR,OK
pyrazine,80.037,2.82189,3.31028,239.79933,4.22,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
n-methylpyrrole,81.058,3.08939,3.38913,276.12466,1.73,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"2,5-dimethyl pyrrole~|~2,5-dimethyl-1h-pyrrole",95.073,4.9219,3.0347,246.87869,2.064,0,1,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"glycerol-triacetate~|~glyceryl triacetate~|~glyceryl triethanoate~|~1,2,3-propanetriol-triacetate",218.079,7.8274,3.20052,234.44781,2.61,6,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
indole~|~1h-indole,117.058,3.7028,3.46446,345.06845,2.08,0,1,10.1021/acs.iecr.3c02255,DIPOLAR,OK
o-ethylaniline~|~2-ethylaniline~|~2-ethylbenzeneamine,121.089,4.15058,3.47357,260.34656,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
2-methylindole,131.073,4.50742,3.39584,318.98236,2.49,0,1,10.1021/acs.iecr.3c02255,DIPOLAR,OK
8-methylquinoline,143.073,3.4651,3.81371,346.42185,1.86,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
acridine,179.073,3.71205,3.96411,395.67771,2.09,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
m-ethylphenol~|~3-ethylphenol,122.073,3.98587,3.51879,293.91226,0.0,1,1,,ASSOCIATIVE,OK
2-phenylethanol,122.073,2.53911,4.12402,358.82328,0.0,1,1,,ASSOCIATIVE,OK
2-methylbenzofuran~|~2-methylbenzo[b]furan,132.058,4.11663,3.48316,283.51364,0.0,1,0,,NONPOLAR,OK
"dibenzofuran~|~dibenzo[bd]furan~|~dibenzo[b,d]furan",168.058,3.63411,3.88426,359.94237,0.0,1,0,,NONPOLAR,OK
methyl phenyl sulfide~|~1-phenyl-1-thiaethane,124.035,3.27107,3.69717,321.82198,1.29,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
phenylsulfide~|~diphenyl sulfide,186.05,4.16567,3.8737,337.82737,0.0,1,0,,NONPOLAR,OK
"1-methylindan~|~2,3-dihydro-1-methyl-1h-indene",132.094,3.02652,4.02584,327.72511,0.0,0,0,,NONPOLAR,OK
"2,5-dihydrofuran~|~2,5-dihydro-furan",70.042,2.86634,3.23145,254.1119,1.54,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
4-fluoronitrobenzene~|~1-fluoro-4-nitrobenzene,141.023,3.28078,3.59254,326.55734,2.87,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
3-fluoronitrobenzene,141.023,3.28525,3.57865,328.43506,0.0,2,0,,NONPOLAR,OK
"2,3,3-trimethyl-1-butene",98.11,2.72459,4.04277,258.13756,0.0,0,0,,NONPOLAR,OK
"1,1,1,2,2-pentafluoropropane",134.015,3.1076,3.39587,175.68124,0.0,0,0,,NONPOLAR,OK
cyclopropane,42.047,1.85512,3.47557,232.78501,0.0,0,0,,NONPOLAR,OK
hexanenitrile,97.089,3.19805,3.74427,291.06524,3.5,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
heptanenitrile,111.105,3.77407,3.69258,287.47985,0.0,1,0,,NONPOLAR,OK
nonanenitrile,139.136,4.4383,3.77202,284.63963,0.0,1,0,,NONPOLAR,OK
"1,5-dicyanopentane",122.084,3.67072,3.74134,386.32722,0.0,2,0,,NONPOLAR,OK
"1,6-dicyanohexane",136.1,4.11628,3.74336,363.53128,0.0,2,0,,NONPOLAR,OK
diethyl carbonate~|~carbonic acid diethyl ester,118.063,4.14185,3.38307,239.35345,1.1,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"sulfuric acid,diethyl ester",154.03,4.16948,3.53053,277.09201,4.41,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"dimethylphthalate~|~phthalic acid dimethyl ester~|~dimethyl 1,2-benzenedicarboxylate",194.058,4.349,3.7961,328.39291,2.78,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
3-ethoxypropionitrile,99.068,3.69288,3.44505,289.64755,0.0,2,0,,NONPOLAR,OK
"1,3-dioxolan-2-one~|~ethylene carbonate",88.016,3.28139,3.09982,324.99793,4.5,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
dipropylsulfoxide,134.077,3.93054,3.69634,314.805,0.0,1,0,,NONPOLAR,OK
ethyl phenyl ketone,134.073,4.95574,3.33848,269.19831,0.0,1,0,,NONPOLAR,OK
2-acetylthiophene,126.014,3.77328,3.43464,314.14213,0.0,2,0,,NONPOLAR,OK
n-ethyl-n-nitroso ethanamine,102.079,3.64979,3.45216,293.04664,0.0,2,0,,NONPOLAR,OK
"3-chloro-1,2-propanediol",110.013,3.15401,3.29795,153.38396,0.0,2,2,,ASSOCIATIVE,OK
"1,3-dichloro-2-propanol",127.98,1.56471,4.5,445.81904,0.0,1,1,,ASSOCIATIVE,sigma: higher
"tetramethylurea~|~1,1,3,3-tetramethyl urea",116.095,4.08678,3.43195,274.05667,0.0,1,0,,NONPOLAR,OK
"benzo[h]quinoline~|~7,8-benzoquinoline",179.073,3.68493,3.95913,395.13103,0.0,1,0,,NONPOLAR,OK
1-chlorooctadecane,288.258,8.0089,3.89362,261.44599,0.0,0,0,,NONPOLAR,OK
diisobutylphthalate~|~phthalic acid diisobutyl ester,278.152,7.45512,3.69998,262.59779,0.0,4,0,,NONPOLAR,OK
1-cyclohexylethanone~|~methylcyclohexylketone,126.104,3.76544,3.69468,285.64406,0.0,1,0,,NONPOLAR,OK
dibutyl adipate~|~dibutyl hexanedioate,258.183,7.60694,3.66819,251.04872,0.0,4,0,,NONPOLAR,OK
"dimethylsuccinate~|~dimethyl 1,4-butanedioate",146.058,5.26317,3.23551,250.69308,2.16,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
dimethylmaleate,144.042,5.26744,3.19369,254.5675,2.48,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethyl octanoate~|~octanoic acid ethyl ester,172.146,5.48341,3.66468,243.41624,1.75,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"triethylenetetramine~|~n,n'-bis(2-aminoethyl)-1,2-ethanediamine~|~1,2-ethanediamine, n,n'-bis(2-aminoethyl)-",146.153,2.63932,4.5,385.92002,0.0,4,4,,ASSOCIATIVE,sigma: higher
"1,1'-thiobisoctane~|~1,1'-thiobis-octane~|~di-n-octyl thioether",258.238,5.87615,4.20886,291.2055,1.55,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylglutaronitrile,108.069,3.26133,3.71165,380.39966,0.0,2,0,,NONPOLAR,OK
1-bromonaphthalene,205.973,3.4325,3.89799,369.78605,1.29,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"(s)-(+)-carvone~|~p-mentha-6,8-dien-2-one, (s)-(+)-",150.104,4.106,3.77076,302.43737,0.0,1,0,,NONPOLAR,OK
diallylphthalate~|~phthalic acid diallyl ester,246.089,13.65216,2.78017,199.55529,0.0,4,0,,NONPOLAR,OK
diethyl sulfoxide,106.045,4.08268,3.30392,300.24224,0.0,1,0,,NONPOLAR,OK
cyclobutane,56.063,2.03005,3.66942,259.5457,0.0,0,0,,NONPOLAR,OK
dga~|~diglycolamine~|~2-aminoethoxyethanol~|~2-(2-aminoethoxy)ethanol,105.079,4.85542,3.0962,270.97591,0.0,3,2,,ASSOCIATIVE,OK
"dibutyl succinate~|~butanedioic acid, dibutyl ester",230.152,6.74906,3.64757,252.99525,0.0,4,0,,NONPOLAR,OK
"1,3-propanediamine~|~1,3-diaminopropane",74.084,1.92787,4.0231,342.73325,0.0,2,2,,ASSOCIATIVE,OK
decylbenzene~|~n-decylbenzene~|~1-phenyldecane,218.203,6.06829,3.90803,272.88466,0.0,0,0,,NONPOLAR,OK
dodecylbenzene~|~n-dodecylbenzene~|~1-phenyldodecane,246.235,6.7889,3.92015,271.75011,0.0,0,0,,NONPOLAR,OK
methylacetoacetate~|~methyl 3-oxobutanoate,116.047,4.01296,3.33213,269.61534,3.0,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"dimethylmalonate~|~dimethyl 1,3-propanedioate",132.042,5.25377,3.09373,245.34478,0.0,4,0,,NONPOLAR,OK
dibenzylamine,197.12,5.95771,3.59785,288.65413,0.0,1,1,,ASSOCIATIVE,"kappa_ab: lower, epsilon_k_ab: lower"
3-heptanol,116.12,3.88509,3.70955,252.81049,0.0,1,1,,ASSOCIATIVE,OK
2-heptanol,116.12,2.88461,4.13203,283.81619,0.0,1,1,,ASSOCIATIVE,OK
1-chloroheptane,134.086,3.9387,3.75201,262.20358,0.0,0,0,,NONPOLAR,OK
1-chlorohexane,120.071,3.55153,3.72398,262.58452,0.0,0,0,,NONPOLAR,OK
perfluorononane~|~perfluoro-n-nonane~|~eicosafluorononane,487.968,6.50662,3.72925,180.65081,0.0,0,0,,NONPOLAR,OK
3-ethylpentane,100.125,3.17762,3.89316,247.47183,0.0,0,0,,NONPOLAR,OK
butylcyclohexane~|~n-butylcyclohexane,140.157,3.73574,4.00758,279.99563,0.0,0,0,,NONPOLAR,OK
"2-ethylthiophene~|~thiophene, 2-ethyl-",112.035,3.23193,3.62393,282.4304,0.0,1,0,,NONPOLAR,OK
ethyl nitrate,91.027,2.94548,3.32975,267.70696,0.0,3,0,,NONPOLAR,OK
n-propyl nitrate,105.043,3.41489,3.38511,258.72139,0.0,3,0,,NONPOLAR,OK
n-butylnitrate,119.058,3.48351,3.55917,269.72221,0.0,3,0,,NONPOLAR,OK
r10b1~|~bromotrichloromethane,195.825,2.19573,3.90927,328.03159,0.0,0,0,,NONPOLAR,OK
butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan,90.05,2.76933,3.72642,277.33086,0.0,1,1,,ASSOCIATIVE,OK
isobutyl mercaptan~|~iso-butylmercaptan~|~2-methyl-1-propanethiol,90.05,2.62846,3.7927,277.90311,0.0,1,1,,ASSOCIATIVE,OK
2-butanethiol~|~sec-butyl mercaptan,90.05,2.66544,3.77377,273.36602,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
2-iodopropane~|~isopropyl iodide,169.959,2.24416,3.91132,304.3131,1.95,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethynylbenzene~|~1-phenylethyne~|~phenylacetylene,102.047,3.1651,3.62216,291.36052,0.0,0,0,,NONPOLAR,OK
"trans,trans-2,4-hexadiene",82.078,3.02676,3.66496,251.30399,0.0,0,0,,NONPOLAR,OK
butyne~|~1-butyne~|~ethylacetylene,54.047,2.73542,3.3065,214.25785,0.8,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
propyne~|~1-propyne~|~methylacetylene,40.031,2.39289,3.15096,208.71275,0.781,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trimethyl phosphite,124.029,3.49527,3.54552,251.31834,0.0,3,0,,NONPOLAR,OK
"r112~|~1,1,2,2-tetrachlorodifluoroethane~|~1,1,2,2-tetrachloro-1,2-difluoroethane~|~1,1,2,2-tetrachloro-1,2-difluoro-ethane",201.872,3.21681,3.66966,248.97891,0.0,0,0,,NONPOLAR,OK
"2,4-dinitrotoluene~|~1-methyl-2,4-dinitrobenzene",182.033,3.90231,3.69636,361.72261,4.32,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
pyridine n-oxide~|~pyridine-n-oxide,95.037,4.08022,3.04575,347.44756,0.0,1,0,,NONPOLAR,OK
(e)-2-pentene~|~trans-2-pentene,70.078,2.68766,3.6794,233.37839,0.0,0,0,,NONPOLAR,OK
3-ethylstyrene~|~m-ethylstyrene~|~1-ethyl-3-vinylbenzene~|~1-ethenyl-3-ethylbenzene,132.094,3.36551,3.9446,308.69297,0.0,0,0,,NONPOLAR,OK
"2,2,3,3,3-pentafluoropropanol",150.01,1.55253,4.5,318.71048,0.0,1,1,,ASSOCIATIVE,sigma: higher
"diisopropyl sulfide~|~2,4-dimethyl-3-thiapentane",118.082,3.34662,3.85936,259.04633,0.0,1,0,,NONPOLAR,OK
1-hexanethiol~|~hexyl mercaptan~|~n-hexyl mercaptan,118.082,3.17419,3.94841,273.50631,0.0,1,1,,ASSOCIATIVE,OK
1-nonanethiol~|~nonyl mercaptan~|~n-nonyl mercaptan,160.129,2.98269,4.5,289.28833,0.0,1,1,,ASSOCIATIVE,sigma: higher
1-octanethiol~|~octyl mercaptan~|~n-octyl mercaptan,146.113,4.00689,3.92772,280.05912,0.0,1,1,,ASSOCIATIVE,OK
sulfur trioxide,79.957,5.5115,2.11391,178.96561,0.0,3,0,,NONPOLAR,OK
methylethylether~|~ethyl methyl ether,60.058,2.70452,3.35445,213.00357,1.23,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"2,2,3-trimethylpentane",114.141,3.07212,4.0839,261.52779,0.0,0,0,,NONPOLAR,OK
fluorine,37.997,1.30208,2.93343,99.77277,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
"propadiene~|~1,2-propadiene",40.031,1.97921,3.36589,222.99172,0.0,0,0,,NONPOLAR,OK
amyl formate~|~pentyl formate~|~pentyl methanoate~|~formicacidpentylester,116.084,4.24093,3.44788,237.7671,1.9,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
n-octyl formate~|~octyl methanoate~|~formicacidoctylester,158.131,5.05811,3.64662,249.70825,0.0,2,0,,NONPOLAR,OK
"5,8,11-trioxapentadecane~|~diethyleneglycoldibutylether~|~diethylene glycol di-n-butyl ether",218.188,4.60277,4.22311,288.04347,0.0,3,0,,NONPOLAR,OK
"phosphonic acid, dimethyl ester",110.013,3.42999,3.35188,303.80162,0.0,3,0,,NONPOLAR,OK
"butoxide~|~ethyloxirane~|~1,2-epoxybutane",72.058,2.82623,3.40913,248.43336,2.01,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
chlorine dioxide,66.959,3.03738,2.56467,205.01074,1.78,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol~|~2,2,3,3,4,4,5,5,5-nonafluoro-1-pentanol",250.004,3.81198,3.75838,217.87589,0.0,1,1,,ASSOCIATIVE,OK
boron trifluoride,68.005,4.04623,2.3242,108.4612,0.0,0,0,,NONPOLAR,OK
ozone,47.985,1.83787,2.91244,159.46303,0.0,2,0,,NONPOLAR,OK
heptylamine~|~1-heptanamine~|~n-heptylamine,115.136,2.34117,4.5,285.93613,0.0,1,1,,ASSOCIATIVE,sigma: higher
selenium hydride~|~hydrogen selenide,81.932,1.56213,3.24268,258.38669,0.0,0,0,,NONPOLAR,OK
"2,2,4-trimethyl-2-pentene~|~2,4,4-trimethyl-2-pentene",112.125,3.44236,3.88527,243.22029,0.0,0,0,,NONPOLAR,OK
deuterium sulfide,33.988,1.68256,2.96818,229.22053,0.0,0,0,,NONPOLAR,OK
phosphine~|~phosphorous trihydride,33.997,1.15022,3.73668,238.93667,0.58,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
silane,32.008,1.344,3.73738,183.37799,0.0,0,0,,NONPOLAR,OK
decanal~|~1-decanal~|~n-decanal,156.151,5.17808,3.6812,255.52727,0.0,1,0,,NONPOLAR,OK
"r114a~|~1,1-dichlorotetrafluoroethane",169.931,2.68124,3.68922,206.24136,0.0,0,0,,NONPOLAR,OK
1-iodopropane~|~n-propyl iodide,169.959,2.30575,3.8558,311.27835,2.04,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-iodobutane,183.975,2.9755,3.74363,287.47016,2.12,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-iodohexane~|~1-iodo-hexane,212.006,3.60779,3.83679,288.14921,1.94,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-chlorononane~|~1-nonylchloride,162.118,4.72337,3.77936,261.49566,0.0,0,0,,NONPOLAR,OK
1-nonylbromide,206.067,5.10036,3.70925,260.15625,0.0,0,0,,NONPOLAR,OK
methyl nonanoate~|~nonanoic acid methyl ester,172.146,5.4393,3.66905,248.62357,0.0,2,0,,NONPOLAR,OK
"linalool~|~3,7-dimethyl-1,6-octadien-3-ol",154.136,4.75444,3.74842,253.73226,0.0,1,1,,ASSOCIATIVE,OK
"(e)-3,7-dimethyl-2,6-octadien-1-ol~|~trans-3,7-dimethyl-2,6-octadien-1-ol",154.136,2.9082,4.47039,337.65555,0.0,1,1,,ASSOCIATIVE,OK
propyl phenyl ketone,148.089,5.58327,3.3315,259.03428,0.0,1,0,,NONPOLAR,OK
methyl isobutyrate~|~methyl 2-methylpropanoate~|~2-methylpropanoicacidmethylester,102.068,3.57432,3.46409,235.90718,1.8,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methyl silicate~|~tetramethoxysilane~|~silicon tetramethoxide,152.05,4.43972,3.51205,223.43421,1.74,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
butyric anhydride,158.094,5.13276,3.51616,250.71016,0.0,3,0,,NONPOLAR,OK
"1,1-dihydroperfluoroheptanol~|~2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-1-heptanol",349.998,5.68148,3.60554,197.10418,0.0,1,1,,ASSOCIATIVE,OK
"2-phenyl-2-propanol~|~aa-dimethyl-benzenemethanol~|~.alpha.,.alpha.-dimethylbenzyl alcohol",136.089,2.26357,4.5,373.07364,0.0,1,1,,ASSOCIATIVE,sigma: higher
1-bromoperfluorooctane~|~1br-perfluoro-n-octane~|~perfluorooctyl bromide,497.891,5.67735,3.87503,201.04478,0.0,0,0,,NONPOLAR,OK
tetramethylgermane,134.015,2.55346,4.07514,241.61578,0.0,0,0,,NONPOLAR,OK
tetramethyllead,268.071,3.06498,3.87942,266.55267,0.0,0,0,,NONPOLAR,OK
ethyl hexanoate~|~hexanoic acid ethyl ester,144.115,4.84994,3.57684,238.80222,0.0,2,0,,NONPOLAR,OK
"dipa~|~diisopropanolamine~|~1,1'-iminobis-2-propanol~|~n-(2-hydroxypropyl)-2-hydroxy-1-propanamine",133.11,5.52834,3.2892,270.62013,0.0,3,3,,ASSOCIATIVE,kappa_ab: lower
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",119.095,2.23789,4.31149,355.96367,0.0,3,2,,ASSOCIATIVE,OK
2-amino-2-methyl-1-propanol~|~2-amino-2-methylpropan-1-ol,89.084,3.15443,3.52393,255.14007,0.0,2,2,,ASSOCIATIVE,OK
"1,3-dimethyl-2-imidazolidinone~|~1,3-dimethylimidazolidin-2-one",114.079,3.58364,3.5106,312.0671,4.05,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"dmpu~|~n,n'-dimethylpropylene urea~|~1,3-dimethyl-3,4,5,6-tetrahydro-2(1h)-pyrimidinone",128.095,2.94142,3.91027,382.18464,0.0,1,0,,NONPOLAR,OK
"1,1-difluoroethene~|~1,1-difluoroethylene",64.012,2.0273,3.28538,164.01206,1.38,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
butoxybenzene,150.104,3.91765,3.85567,294.61229,0.0,1,0,,NONPOLAR,OK
"2,5-dichloronitrobenzol",190.954,3.8137,3.64374,340.876,0.0,2,0,,NONPOLAR,OK
"3,4-dichloronitrobenzene~|~1,2-dichloro-4-nitrobenzene~|~3,4-dichloro-1-nitrobenzene",190.954,4.23373,3.49076,320.0502,2.17,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
butyl tert-butyl ether,130.136,4.08226,3.79345,232.39197,0.0,1,0,,NONPOLAR,OK
1-tridecene,182.203,5.43015,3.91593,254.54713,0.0,0,0,,NONPOLAR,OK
1-pentadecene,210.235,6.14256,3.93828,256.27493,0.0,0,0,,NONPOLAR,OK
"r134~|~1,1,2,2-tetrafluoroethane",102.009,3.01931,3.05779,178.66968,1.7,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
undecylbenzene~|~n-undecylbenzene~|~1-phenylundecane,232.219,6.50714,3.90016,270.77217,0.0,0,0,,NONPOLAR,OK
tridecylbenzene~|~n-tridecylbenzene~|~1-phenyltridecane,260.25,7.27148,3.90939,269.37727,0.0,0,0,,NONPOLAR,OK
heptylcyclohexane,182.203,4.95524,3.986,273.21075,0.0,0,0,,NONPOLAR,OK
"3,3-diethylpentane",128.157,3.24028,4.14875,277.80264,0.0,0,0,,NONPOLAR,OK
(e)-3-methyl-2-pentene~|~3-methyl-trans-2-pentene~|~trans-3-methyl-2-pentene,84.094,3.14153,3.65787,235.53289,0.0,0,0,,NONPOLAR,OK
(z)-3-methyl-2-pentene~|~3-methyl-cis-2-pentene~|~cis-3-methyl-2-pentene,84.094,3.0324,3.70666,241.14549,0.0,0,0,,NONPOLAR,OK
1-methoxy2-propanol~|~1-methoxy-2-propanol~|~propylene glycol monomethyl ether,90.068,4.36714,3.08777,234.20027,0.0,2,1,,ASSOCIATIVE,"kappa_ab: lower, epsilon_k_ab: lower"
"1,2-dimethoxybenzene",138.068,4.29945,3.45674,284.87164,0.0,2,0,,NONPOLAR,OK
"2,5,8,11,14-pentaoxapentadecane~|~tetraethylene glycol dimethyl ether",222.147,7.18702,3.53037,243.85232,2.47,5,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trimethylsilanol,90.05,1.73103,4.5,318.3541,0.0,1,1,,ASSOCIATIVE,sigma: higher
hexamethyl disilazane,161.106,3.68435,4.20139,241.78904,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
1-chlorodecane,176.133,5.07958,3.80325,261.66558,0.0,0,0,,NONPOLAR,OK
tetrachlorogermane~|~germanium tetrachloride,213.797,2.63314,3.84498,273.45657,0.0,0,0,,NONPOLAR,OK
tridecanoic acid~|~n-tridecanoic acid,214.193,3.95264,4.5,324.75921,0.0,1,1,,ASSOCIATIVE,sigma: higher
"ethyl3-ethoxypropanoate~|~ethyl-3-ethoxypropionate~|~ethyl .beta.-ethoxypropionate~|~propionic acid,beta ethoxy,ethyl ester",146.094,4.80852,3.50647,242.12739,0.0,3,0,,NONPOLAR,OK
"propionic acid,beta butoxy,butyl ester",202.157,7.63407,3.39225,220.40783,0.0,3,0,,NONPOLAR,OK
"2,3-dimethyl-1,3-butadiene~|~1,3-butadiene, 2,3-dimethyl-",82.078,2.66543,3.79932,259.73716,0.0,0,0,,NONPOLAR,OK
"trans-1,3-dimethylcyclopentane~|~(1r,3r)-1,3-dimethylcyclopentane",98.11,2.78995,3.95348,266.22832,0.0,0,0,,NONPOLAR,OK
2-thiapentane~|~methylpropyl sulfide~|~1-(methylthio)-propane~|~methyl-n-propyl sulfide~|~methyl n-propyl sulfide,90.05,2.91541,3.64742,268.75571,0.0,1,0,,NONPOLAR,OK
3-methyl-2-thiabutane~|~methyl isopropyl sulfide,90.05,2.65363,3.77723,274.36378,0.0,1,0,,NONPOLAR,OK
"1,1,2-trimethylcyclopentane",112.125,2.87026,4.07073,276.98549,0.0,0,0,,NONPOLAR,OK
pyruvic acid~|~2-oxo-propionic acid,88.016,4.12024,2.77065,164.58826,0.0,2,1,,ASSOCIATIVE,OK
"3,3-dimethyl-1-butene",84.094,2.60925,3.94179,237.06988,0.0,0,0,,NONPOLAR,OK
cyclooctene,110.11,2.66008,4.06819,318.39691,0.0,0,0,,NONPOLAR,OK
dibutyl oxalate~|~di-n-butyl oxalate,202.121,6.02673,3.60949,255.21388,0.0,4,0,,NONPOLAR,OK
2-methoxy1-propanol~|~2-methoxy propanol-1~|~2-methoxy-1-propanol,90.068,1.56677,4.5,406.60448,0.0,2,1,,ASSOCIATIVE,sigma: higher
methyl lactate~|~methyl 2-hydroxypropanoate~|~2-hydroxy-propanoicacid-methylester,104.047,2.17754,3.99934,351.27028,0.0,3,1,,ASSOCIATIVE,OK
ethyl lactate~|~dl-ethyl lactate~|~2-hydroxypropanoicacidethylester,118.063,1.86406,4.5,386.08727,0.0,3,1,,ASSOCIATIVE,sigma: higher
"1,8-cineole~|~1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",154.136,3.44681,4.05947,290.23997,0.0,1,0,,NONPOLAR,OK
"1,1,3-trimethylcyclopentane",112.125,3.13282,3.97581,256.31603,0.0,0,0,,NONPOLAR,OK
methyl chloroacetate~|~methyl chloroethanoate~|~chloroaceticacidmethylester,107.998,4.02247,3.0774,252.89659,0.0,2,0,,NONPOLAR,OK
2-chloropropene~|~2-chloropropylene~|~2-chloro-1-propene,76.008,1.9126,3.82014,273.17104,1.66,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethyl isobutyrate~|~ethyl 2-methylpropanoate~|~2-methylpropanoicacidethylester,116.084,3.99067,3.52027,230.4731,2.07,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methyl isovalerate,116.084,4.17748,3.45285,230.94385,0.0,2,0,,NONPOLAR,OK
triethyl borate,146.111,4.44593,3.67289,221.84511,0.0,3,0,,NONPOLAR,OK
isobutyl iodide~|~1-iodo-2-methylpropane,183.975,2.64978,3.88999,301.80785,0.0,0,0,,NONPOLAR,OK
