Clapeyron database file
ideal gas formation enthalpies and entropies at 1 bar, 298.15 K  [csvtype = single,sep = ;]
CAS;species;H0;S0
4253-91-2;dipropylsulfoxide;-254900;
8-2-4254;Cyclopentanecarbonitrile;44100;
3-11-4426;Cyclobutanecarbonitrile;147400;
4625-24-5;1-Methylbicyclo[3.1.0]hexane;1700;
4753-80-4;Thiepane;-65800;363.5
4806-61-5;ethylcyclobutane;-27500;
3-4-4829;1,3-Dithiolane;10000;323.3
4912-92-9;2,3-dihydro-1,1-dimethyl-1h-indene;-1600;
4914-89-0;(z)-3-methyl-3-hexene~|~cis-3-methyl-3-hexene;-79400;
5145-99-3;2-methyl-3-thiapentane;-118300;
5396-24-7;Propyl chloroacetate;-467000;
5408-86-6;2,3-Dibromobutane;-102000;
5454-79-5;cis-3-methylcyclohexanol;-350900;
5500-21-0;cyclopropyl cyanide~|~cyclopropanecarbonitrile;182800;
5787-31-5;2-Bromobutane, (±)-;-120300;
5857-36-3;2,2,4-Trimethyl-3-pentanone;-338300;
6032-29-7;2-pentanol~|~pentan-2-ol;-311000;
6163-64-0;methyl t-butyl sulfide~|~3,3-dimethyl-2-thiabutane~|~methyl-tert-butylthioether~|~2-methyl-2-(methylthio)-propane~|~methyl-t-butyl sulfide;-121300;
6163-66-2;di-tert-butyl ether;-362000;
6553-48-6;trans-1,2-Divinylcyclobutane;143500;
6863-58-7;2,2'-oxybis-butane~|~di-sec-butyl ether;-360600;
6876-23-9;trans-1,2-dimethylcyclohexane~|~(1r,2r)-1,2-dimethylcyclohexane;-179900;
6920-22-5;1,2-hexanediol;-490100;
6921-35-3;3,3-Dimethyloxetane;-148200;
6982-25-8;2,3-butanediol;-482300;
7119-92-8;N-Nitrodiethylamine;-53000;
7119-94-0;1-nitropiperidine;-44500;
7132-64-1;methyl pentadecanoate;-680000;
7133-36-0;cyclopentyl-1-thiaethane;-64700;
7154-79-2;2,2,3,3-tetramethylpentane;-237100;
7357-93-9;2-ethyl-3-methyl-1-butene~|~1-butene, 2-ethyl-3-methyl-;-79500;
7429-90-5;Aluminum;330000;164.6
7429-91-6;Dysprosium;290400;196.6
7439-88-5;Iridium;665300;193.6
7439-89-6;iron;416300;180.5
7439-90-9;krypton;0;164.1
7439-91-0;Lanthanum;431000;182.4
7439-92-1;Lead;195200;175.4
7439-93-2;lithium;159300;138.8
7439-94-3;Lutetium;427600;184.8
7439-95-4;Magnesium;147100;148.6
7439-96-5;Manganese;280700;173.7
7439-97-6;mercury;61400;175.0
7439-98-7;Molybdenum;658100;182.0
7440-0-8;Neodymium;327600;189.4
9-1-7440;neon;0;146.3
7440-2-0;Nickel;429700;182.2
1-3-7440;Niobium;725900;186.3
2-4-7440;Osmium;791000;192.6
3-5-7440;Palladium;378200;167.1
4-6-7440;Platinum;565300;192.4
7-9-7440;potassium;89000;160.3
7440-10-0;Praseodymium;355600;189.8
7440-13-3;Protactinium;607000;198.1
7440-14-4;Radium;159000;176.5
7440-15-5;Rhenium;769900;188.9
7440-16-6;Rhodium;556900;185.8
7440-17-7;Rubidium;80900;170.1
7440-18-8;Ruthenium;642700;186.5
7440-19-9;Samarium;206700;183.0
7440-20-2;Scandium;377800;174.8
7440-21-3;Silicon;450000;168.0
7440-22-4;Silver;284900;173.0
7440-23-5;Sodium;107500;153.7
7440-24-6;Strontium;164400;164.6
7440-25-7;Tantalum;782000;185.2
7440-26-8;Technetium;678000;181.1
7440-27-9;Terbium;388700;203.6
7440-28-0;Thallium;182200;181.0
7440-29-1;Thorium;602000;190.2
7440-30-4;Thulium;232200;190.1
7440-32-6;Titanium;473000;180.3
7440-33-7;Tungsten;849400;174.0
7440-34-8;Actinium;406000;188.1
7440-36-0;Antimony;262300;180.3
7440-37-1;argon;0;154.8
7440-38-2;Arsenic (gray);302500;174.2
7440-39-3;Barium;180000;170.2
7440-41-7;Beryllium;324000;136.3
7440-42-8;Boron;565000;153.4
7440-43-9;Cadmium;111800;167.7
7440-45-1;Cerium;423000;191.8
7440-46-2;cesium;76500;175.6
7440-47-3;Chromium;396600;174.5
7440-48-4;Cobalt;424700;179.5
7440-50-8;Copper;337400;166.4
7440-52-0;Erbium;317100;195.6
7440-53-1;Europium;175300;188.8
7440-54-2;Gadolinium;397500;194.3
7440-55-3;Gallium;272000;169.0
7440-56-4;germanium;372000;167.9
7440-57-5;Gold;366100;180.5
7440-58-6;Hafnium;619200;186.9
7440-59-7;helium~|~helium-4;0;126.2
7440-60-0;Holmium;300800;195.6
7440-61-1;Uranium;533000;199.8
7440-62-2;vanadium;514200;182.3
7440-63-3;xenon;0;169.7
7440-64-4;Ytterbium;152300;173.1
7440-65-5;Yttrium;421300;179.5
7440-66-6;Zinc;130400;161.0
7440-67-7;Zirconium;608800;181.4
7440-69-9;Bismuth;207100;187.0
7440-70-2;calcium;177800;154.9
7440-74-6;Indium;243300;173.8
7443-55-2;trans-3-methylcyclohexanol;-329100;
5-9-7446;sulfur dioxide;-296800;248.2
9-11-7446;Sulfur trioxide (α-form);-395700;256.8
7446-70-0;Aluminum chloride;-583200;
7447-40-7;Potassium chloride;-214600;239.1
7550-45-0;titanium tetrachloride;-763200;353.2
7553-56-2;i2~|~iodine;62400;260.7
7616-94-6;perchloryl fluoride;-23800;279.0
7632-51-1;vanadium tetrachloride;-525500;362.4
2-7-7637;boron trifluoride;-1136000;254.4
3-9-7642;(z)-3-hexene~|~cis-3-hexene;-47600;
7646-78-8;tin(iv) chloride~|~stannic chloride~|~tin tetrachloride;-471500;365.8
7646-85-7;Zinc chloride;-266100;
7647-1-0;hcl~|~hydrogen chloride~|~hydrochloric acid;-92300;186.9
7647-15-6;Sodium bromide;-143100;241.2
7647-19-0;phosphorus pentafluoride;-1594400;300.8
7664-39-3;hydrogen fluoride;-273300;173.8
7664-41-7;ammonia;-45900;192.8
7688-21-3;(z)-2-hexene~|~cis-2-hexene;-52300;
7697-37-2;nitric acid;-133900;266.9
7704-34-9;Sulfur (rhombic);277200;167.8
7705-14-8;Dipentene;-2600;
7-9-7719;thionyl chloride;-212500;309.8
2-12-7719;Phosphorus(III) chloride;-287000;311.8
7720-83-4;Titanium(IV) iodide;-277800;
7722-84-1;hydrogen peroxide;-136300;232.7
7723-14-0;Phosphorus (white);316500;163.2
7726-95-6;bromine;30900;245.5
7727-15-3;aluminum bromide;-425100;
7727-18-6;vanadium oxytrichloride;-695600;344.3
7727-37-9;nitrogen;0;191.6
7731-28-4;cis-4-methylcyclohexanol;-347500;
7731-29-5;trans-4-methylcyclohexanol;-367200;
7732-18-5;water;-241800;188.8
7782-41-4;fluorine;0;202.8
7782-42-5;Carbon (graphite);716700;158.1
7782-44-7;oxygen;0;205.2
7782-49-2;Selenium (gray);227100;176.7
7782-50-5;cl2~|~chlorine;0;223.1
7782-65-2;Germane;90800;217.1
7782-77-6;Nitrous acid;-79500;254.1
7782-79-8;Hydrazoic acid;294100;239.0
4-6-7783;hydrogen sulfide;-20600;205.8
5-7-7783;selenium hydride~|~hydrogen selenide;29700;219.0
7-9-7783;Hydrogen telluride;99600;
7783-26-8;trisilane;120900;
7783-41-7;oxygen difluoride;24500;247.5
7783-44-0;Difluorine dioxide;19200;277.2
7783-54-2;nitrogen trifluoride;-132100;260.8
7783-55-3;phosphorus trifluoride;-958400;273.1
7783-58-6;germanium tetrafluoride;-1190200;301.9
7783-60-0;sulfur tetrafluoride;-763200;299.6
7783-61-1;tetrafluorosilane~|~silicon tetrafluoride;-1615000;282.8
7783-66-6;iodine fluoride~|~iodine pentafluoride;-822500;327.7
7783-68-8;Niobium(V) fluoride;-1739700;321.9
7783-72-4;Vanadium(V) fluoride;-1433900;320.9
7783-75-7;Iridium(VI) fluoride;-544000;357.8
7783-77-9;molybdenum hexafluoride;-1557700;350.5
7783-79-1;Selenium hexafluoride;-1117000;313.9
7783-80-4;Tellurium hexafluoride;-1318000;
7783-81-5;Uranium(VI) fluoride;-2147400;377.9
7783-82-6;Tungsten(VI) fluoride;-1721700;341.1
7784-18-1;Aluminum fluoride;-1204600;277.1
7784-23-8;Aluminum iodide;-289400;223.6
7784-33-0;Arsenic(III) bromide;-130000;363.9
7784-34-1;arsenic trichloride~|~arsenic (iii) chloride;-261500;327.2
7784-35-2;Arsenic(III) fluoride;-785800;289.1
7784-42-1;arsine;66400;222.8
7787-60-2;Bismuth trichloride;-265700;358.9
7787-71-5;Bromine trifluoride;-255600;292.5
7789-25-5;Nitrosyl fluoride;-66500;248.1
7789-27-7;Thallium(I) fluoride;-182400;
7789-30-2;Bromine pentafluoride;-428900;320.2
7789-33-5;Iodine bromide;40800;258.8
7789-40-4;Thallium(I) bromide;-37700;
7789-57-3;Tribromosilane;-317600;348.6
7789-60-8;phosphorus tribromide;-139300;348.1
7789-61-9;Antimony(III) bromide;-194600;372.9
7789-66-4;Tetrabromosilane;-415500;377.9
7789-67-5;Tin(IV) bromide;-314600;411.9
7789-68-6;Titanium(IV) bromide;-549400;398.4
7790-30-9;Thallium(I) iodide;7100;
7790-89-8;Chlorine fluoride;-50300;217.9
7790-91-2;chlorine trifluoride;-163200;281.6
7790-92-3;Hypochlorous acid;-78700;236.7
7790-99-0;Iodine chloride;17800;247.6
7791-12-0;Thallium(I) chloride;-67800;
7791-21-1;Chlorine monoxide;80300;266.2
7791-25-5;sulfuryl chloride;-364000;311.9
7803-51-2;phosphine~|~phosphorous trihydride;5400;210.2
7803-52-3;stibine;145100;232.8
7803-62-5;silane;34300;204.6
10024-97-2;nitrous oxide~|~dinitrogen monoxide;81600;220.0
10025-78-2;trichlorosilane;-513000;313.9
10025-82-8;Indium(III) chloride;-374000;
10025-87-3;phosphoryl chloride~|~phosphorus oxychloride~|~phosphoryl trichloride;-558500;325.5
10026-4-7;tetrachlorosilane;-657000;330.7
10026-8-1;Thorium(IV) chloride;-964400;390.7
10026-10-5;Uranium(IV) chloride;-809600;419.0
10026-12-7;Niobium(V) chloride;-703700;400.6
10026-13-8;Phosphorus(V) chloride;-374900;364.6
10028-15-6;ozone;142700;238.9
10028-16-7;Ditellurium;168200;268.1
10034-85-2;hydrogen iodide;26500;206.6
10035-10-6;hydrogen bromide;-36300;198.7
10036-47-2;tetrafluorohydrazine;-8400;301.2
10038-98-9;tetrachlorogermane~|~germanium tetrachloride;-495800;347.7
10043-11-5;Boron nitride;647500;212.3
10043-35-3;Boric acid;-994100;
10043-92-2;radon;0;176.2
10049-4-4;chlorine dioxide;102500;256.8
10049-14-6;Uranium(IV) fluoride;-1598700;368.0
10097-28-6;Silicon monoxide;-99600;211.6
10097-32-2;Bromine (atomic);111900;175.0
10099-66-8;Lutetium chloride;-649000;
10102-3-1;Nitrogen pentoxide;13300;355.7
10102-43-9;nitric oxide~|~nitrogen oxide~|~nitrogen oxide (no);91300;210.8
10102-44-0;nitrogen dioxide;33200;240.1
10294-33-4;boron tribromide;-205600;324.2
10294-34-5;boron trichloride;-403800;290.1
10361-92-9;Yttrium chloride;-750200;
10424-38-1;1,2-Propanediamine, (±)-;-53600;
10544-72-6;dinitrogen tetroxide;11100;304.4
10544-73-7;Nitrogen trioxide;86600;314.7
10588-10-0;2-methylpropyl pentanoate;-568600;
11128-24-8;Fluorosilylidyne;7100;225.8
12004-36-3;Aluminum oxide (Al2O);-130000;259.4
12005-99-1;Arsenic monoxide;70000;
12007-33-9;Boron sulfide;67000;
12024-8-7;Gallium monoxide;279500;231.1
12025-32-0;Germanium(II) sulfide;92000;234.0
12030-14-7;Indium(II) sulfide;238000;
12035-97-1;Uranium(II) oxide;21000;
12061-70-0;Fluorine oxide;109000;216.4
12070-15-4;Dicarbon;831900;199.4
12136-26-4;Indium monoxide;387000;236.5
12137-18-7;Rhodium monoxide;385000;
12164-97-5;Phosphorus dioxide;-279900;252.1
12185-9-0;Diphosphorus;144000;218.1
12185-10-3;Tetraphosphorus;58900;280.0
12185-17-0;Diselenium;146000;252.0
12187-6-3;Disilver;410000;257.1
12187-9-6;Digold;515100;
12187-12-1;Dibismuth;219700;
12190-70-4;Dicopper;484200;241.6
12228-39-6;Boron monosulfide;342000;216.2
12251-90-0;Aluminum monosulfide;200900;230.6
12385-13-6;Hydrogen (atomic);218000;114.7
12504-41-5;Silicon monosulfide;112500;223.7
12505-77-0;Boron monoxide;25000;203.5
12596-5-3;Digermanium;473100;252.8
12596-25-7;Dimercury;108800;288.1
12597-35-2;Disilicon;594000;229.9
12640-89-0;Selenium monoxide;53400;234.0
13205-44-2;Borane carbonyl;-111200;249.4
13269-52-8;(e)-3-hexene~|~trans-3-hexene;-54400;
13283-1-7;Tungsten(VI) chloride;-513800;
13283-31-3;Borane(3);89200;188.2
13403-37-7;epichlorohydrin~|~alpha-epichlorohydrin~|~(chloromethyl)-oxirane~|~1-chloro-2,3-epoxypropane;-107800;
13444-87-6;Nitrosyl bromide;82200;273.7
13444-90-1;Nitryl chloride;12600;272.2
13445-50-6;Diphosphine;20900;
13450-92-5;Germanium(IV) bromide;-300000;396.2
13450-95-8;Germanium(IV) iodide;-56900;428.9
13460-50-9;Metaboric acid (β form);-561900;240.1
13463-39-3;nickel carbonyl~|~nickel tetracarbonyl;-602900;410.6
13464-75-0;Gold hydride;295000;211.2
13465-7-1;Hydrogen disulfide;15500;
13465-9-3;Indium(III) bromide;-282000;
13465-10-6;Indium(I) chloride;-75000;
13475-76-8;11-Butyldocosane;-593400;
13478-20-1;Phosphoryl fluoride;-1254300;285.4
13494-80-9;Tellurium;196700;182.7
13499-5-3;Hafnium(IV) chloride;-884500;
13510-35-5;Indium(III) iodide;-120500;
13517-10-7;Boron triiodide;71100;349.2
13569-45-4;Bromosilylene;-464400;
13595-30-7;Vanadium(IV) bromide;-336800;
13595-81-8;Aluminum monochloride;-47700;228.1
13595-82-9;Aluminum monofluoride;-258200;215.0
13701-67-2;Tetrachlorodiborane;-490400;357.4
13709-47-2;Scandium fluoride;-1247000;300.5
13709-49-4;Yttrium fluoride;-1288700;311.8
13709-52-9;Hafnium(IV) fluoride;-1669800;
13709-59-6;Thorium(IV) fluoride;-1759000;341.7
13763-23-0;Uranium(VI) chloride;-1013000;431.0
13765-26-9;Gadolinium(III) fluoride;-1297000;
13766-26-2;Borane(1);442700;171.8
13766-28-4;Diboron dioxide;-454800;242.5
13768-60-0;Fluoroborane(1);-122200;200.5
13774-92-0;Imidogen;351500;181.2
13774-94-2;Silylidyne;361000;
13775-6-9;Uranium(III) fluoride;-1058500;331.9
13776-62-0;trans-Difluorodiazine;82000;
13812-43-6;cis-Difluorodiazine;69500;
13818-89-8;Digermane;162300;
13821-15-3;Sodium tetrafluoroaluminate;-1869000;345.7
13827-32-2;Sulfur monoxide;6300;222.0
13830-68-7;Hexafluorodisilane;-2383300;391.0
13840-88-5;Boron dioxide;-300400;229.6
13842-84-7;Thorium(III) fluoride;-1166100;339.2
13845-12-0;Aluminum hexachloride;-1290800;490.0
13863-41-7;Bromine chloride;14600;240.1
13863-59-7;Bromine fluoride;-93800;229.0
13873-84-2;Iodine fluoride;-95700;236.2
13939-6-5;Molybdenum carbonyl;-912100;490.0
13940-21-1;Mercapto;142700;195.7
13965-73-6;Tetrafluorodiborane;-1440100;317.3
13966-57-9;Chlorosilylidyne;189900;
13966-66-0;Difluorosilylene;-619000;252.7
13966-78-4;Gallium monofluoride;-251900;
13966-94-4;Indium(I) iodide;7500;267.3
13966-95-5;Indium(I) fluoride;-203400;
13967-22-1;Aluminum monohydride;259200;187.9
14280-53-6;Indium(I) bromide;-56900;259.5
14362-44-8;Iodine (atomic);106800;180.8
14452-59-6;Dilithium;215900;197.0
14452-61-0;Diboron;830500;201.9
14452-66-5;Phosphorus monoxide;-28500;222.8
14457-64-8;Aluminum monoxide;91200;218.4
14691-44-2;Trigermane;226800;
14696-98-1;Iodine monoxide;126000;239.6
14762-94-8;Fluorine (atomic);79400;158.8
14791-57-2;Bromosilyldyne;209000;
14808-60-7;Silicon dioxide (α-quartz);-322000;
14929-46-5;Germanium monofluoride;-33400;
14931-39-6;Trihydro(phosphorus trifluoride)boron;-854000;
14977-61-8;Chromium(VI) dichloride dioxide;-538100;329.8
14989-30-1;Chlorine oxide (ClO);101800;226.6
15499-23-7;Fluorine superoxide (FOO);25400;259.5
15600-49-4;Iron(III) iodide;71000;
15656-19-6;Bromine monoxide;125800;233.0
15831-18-2;Vanadium(IV) iodide;-122600;
15869-85-9;5-methylnonane~|~5-methyl-nonane;-258600;
16033-71-9;methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide;-94700;286.9
16177-46-1;cis-1,2-Divinylcyclobutane;166500;
16529-66-1;trans-3-Pentenenitrile;125700;
16603-84-2;Aluminum dichloride;-331000;
16747-38-9;2,3,3,4-tetramethylpentane;-236100;
16962-7-5;Aluminum borohydride;13000;379.2
17348-59-3;isopropyl tert-butyl ether~|~1-methylethyl 1,1-dimethylethyl ether;-358100;
17376-9-9;Chlorine superoxide (ClOO);89100;263.7
17655-31-1;Amidogen;184900;195.0
17702-41-9;Decaborane(14);47300;350.7
17739-47-8;Phosphorus nitride;171500;211.1
17778-80-2;Oxygen (atomic);249200;161.1
17778-88-0;Nitrogen (atomic);472700;153.3
17949-86-9;Aluminum hexafluoride;-2628000;
18283-93-7;Tetraborane(10);66100;280.3
18362-97-5;Isopropyl pentanoate;-544900;
18433-84-6;Pentaborane(11);103300;321.0
18898-34-5;Aluminum hexabromide;-970700;
18898-35-6;Aluminum hexaiodide;-516700;
19287-45-7;diborane;36400;232.1
19465-30-6;Nonaborane(15);158400;364.9
19624-22-7;Pentaborane(9);73200;280.6
19780-66-6;3-ethyl-2-methyl-1-pentene~|~2-methyl-3-ethyl-1-pentene;-100300;
19961-29-6;Bromoborane(1);238100;225.0
20089-7-0;2-Methyl-1-butanethiol, (+);-114900;
20281-86-1;2-hexanol;-333500;
20583-55-5;Chloroborane(1);149500;213.2
20619-16-3;Germanium(II) oxide;-46200;224.3
20816-12-0;osmium tetroxide;-337200;293.8
20972-43-4;trans-Azoxybenzene;342000;
21110-21-4;Germanium monochloride;155200;247.0
21255-83-4;Bromine dioxide;152000;271.1
21351-79-1;Cesium hydroxide;-256000;254.8
21368-68-3;Camphor, (±)-;-267500;
21651-19-4;Tin(II) oxide;15100;232.1
22359-97-3;Aluminum monobromide;-4000;239.5
22537-15-1;Chlorine (atomic);121300;165.2
22987-45-7;Selenium dibromide;-21000;
23361-55-9;Chloroxyborane;-314000;
23361-56-0;Fluorooxyborane;-607000;
23550-45-0;Disulfur;128600;228.2
23777-80-2;Hexaborane(10);94600;296.8
23878-46-8;Diarsenic;222200;239.4
25681-79-2;Disodium;142100;230.2
25681-80-5;Dipotassium;123700;249.7
25884-11-1;Germanium monobromide;235600;
26198-63-0;1,2-Dichloropropane, (±)-;-162800;
27387-79-7;Butyl 3-chloropropanoate;-502300;
29003-73-4;Butyl dichloroacetate;-497800;
29904-79-8;Dimagnesium;287700;
29977-41-1;Aluminum monoiodide;65500;
32679-33-7;Diantimony;235600;254.9
32752-94-6;Dialuminum;485900;233.2
33021-2-2;isobutyl-tert-butylether~|~isobutyl tert-butyl ether~|~2-methyl-1-tert-butoxypropane;-369000;
33560-15-5;Isobutyl trichloroacetate;-500200;
33966-50-6;2-butanamine~|~sec-butylamine;-104600;
34713-94-5;2-Methyl-1-butanol, (±)-;-301400;
36383-15-0;sec-Butylbenzene, (±)-;-18400;
36653-82-4;1-hexadecanol;-517000;
42474-21-5;1,2-dibromoheptane;-157900;
53178-20-4;2-chlorobutane~|~sec-butyl chloride;-161100;
54819-86-2;Butyl 2-chloropropanoate;-517300;
55282-16-1;5-butyldocosane;-587600;
55314-57-3;Ethyl 2-pentynoate;-250300;
55320-6-4;11-decylhenicosane;-705800;
57392-55-9;Isopentyl trichloroacetate;-523100;
61178-97-0;Diindium;380900;
62108-66-1;Propyl 3-chloropropanoate;-485700;
62108-68-3;Isobutyl 3-chloropropanoate;-517300;
62108-69-4;3-Methylbutyl 2-chloropropanoate;-575000;
62108-70-7;3-Methylbutyl 3-chloropropanoate;-539400;
62108-71-8;Propyl 2-chlorobutanoate;-578400;
70116-68-6;3-Methyl-2-butanol, (±)-;-313500;
74508-24-0;Digallium;438500;
78918-91-9;3-methylhexane~|~3-methyl-hexane;-191300;
91840-99-2;2-butanethiol~|~sec-butyl mercaptan;-96900;
99685-96-8;Carbon [fullerene-C60];2502000;544.0
114489-96-2;Isobutyl 2-chloropropanoate;-549600;
115383-22-7;Carbon [fullerene-C70];2755000;614.0
116836-32-9;sec-Butyl pentanoate;-573200;
